generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
1,collapsed,3000,care,false,false,false,false,0,0,0,0,0.827,0,0,0,0,0,0,initiator,0.9870383777837286,reactive,collapsed,0.44613382857872763,pref_care,true,true,true,1
1,collapsed,3002,epistemic,false,false,false,false,0,0,0,0,0.306,0,0,0,0,0,0,mediator,0.7969460990582363,proactive,collapsed,0.4964348860676686,pref_epistemic,true,true,true,1
1,collapsed,3003,legal,false,false,false,false,0,0,0,0,0.900,0,0,0,0,0,0,initiator,0.7940048276773065,proactive,collapsed,0.5304860313110239,pref_legal,true,true,true,1
1,collapsed,3004,epistemic,false,false,false,false,388,129,1,1,0.463,1,0,0,1,0,0,initiator,0.3195659418840515,reactive,collapsed,0.5066233713239279,pref_epistemic,true,true,true,1
1,collapsed,3005,care,false,false,false,false,97,30,1,1,0.472,1,0,0,1,0,0,initiator,0.9319031060723371,proactive,collapsed,0.5555430151899419,pref_care,true,true,true,1
1,collapsed,3006,legal,false,false,false,false,194,52,1,1,0.752,1,0,0,1,0,0,disruptor,0.9954268380328782,reactive,collapsed,0.6075820273568076,pref_legal,true,true,true,1
1,collapsed,3007,epistemic,false,false,false,false,388,141,0,0,0.735,1,6,1,0,0,0,mediator,0.1293189676990657,reactive,collapsed,0.5902334986092657,pref_epistemic,true,true,true,1
1,collapsed,3008,care,false,false,false,false,97,13,1,1,0.601,1,0,0,1,0,0,initiator,0.7636124588887878,reactive,collapsed,0.5006500596290427,pref_care,true,true,true,1
1,collapsed,3009,epistemic,false,false,false,false,194,28,1,1,0.333,1,0,0,1,0,0,responder,0.0664079667252877,proactive,collapsed,0.606591021620698,pref_epistemic,true,true,true,1
1,collapsed,3010,legal,false,false,false,false,0,0,0,0,0.667,0,0,0,0,0,0,initiator,0.2500945081963599,reactive,collapsed,0.7130829833467718,pref_legal,true,true,true,1
1,collapsed,3011,legal,false,false,false,false,388,126,1,1,0.632,2,1,1,1,0,0,responder,0.737533053362189,proactive,collapsed,0.766019947484006,pref_legal,true,true,true,1
1,collapsed,3013,epistemic,false,false,false,false,0,0,0,0,0.743,0,0,0,0,0,0,disruptor,0.9576009326529177,proactive,collapsed,0.6505107032179103,pref_epistemic,true,true,true,1
1,collapsed,3014,care,false,false,false,false,0,0,0,0,0.572,0,0,0,0,0,0,responder,0.7306936451306141,reactive,collapsed,0.4585742455400313,pref_care,true,true,true,1
1,collapsed,3015,care,false,false,false,false,0,0,0,0,0.400,0,0,0,0,0,0,initiator,0.12413515133260533,reactive,collapsed,0.40590303072823425,pref_care,true,true,true,1
1,collapsed,3016,apriori,false,false,false,false,194,48,1,1,0.485,1,0,0,1,0,0,responder,0.5846024216119616,reactive,collapsed,0.5002800178874891,pref_apriori,true,true,true,1
1,collapsed,3017,apriori,false,false,false,false,0,0,0,0,0.407,0,0,0,0,0,0,disruptor,0.8196805840076852,reactive,collapsed,0.5296985180896855,pref_apriori,true,true,true,1
1,collapsed,3018,care,false,false,false,false,0,0,0,0,0.703,0,0,0,0,0,0,disruptor,0.7034867729807667,reactive,collapsed,0.49059267841990734,pref_care,true,true,true,1
1,collapsed,3019,legal,false,false,false,false,388,128,2,2,0.755,2,1,0,2,0,0,initiator,0.20237013490430122,reactive,collapsed,0.7122124517654254,pref_legal,true,true,true,1
1,collapsed,3020,legal,false,false,false,false,0,0,0,0,0.533,0,0,0,0,0,0,responder,0.6053286214790703,proactive,collapsed,0.4225632161563504,pref_legal,true,true,true,1
1,collapsed,3021,apriori,false,false,false,false,0,0,0,0,0.796,0,0,0,0,0,0,mediator,0.6867724292499559,proactive,collapsed,0.4056229014364589,pref_apriori,true,true,true,1
1,collapsed,3022,care,false,false,false,false,388,162,0,0,0.880,1,1,1,0,0,0,disruptor,0.8968827611268995,proactive,collapsed,0.5308983024558251,pref_care,true,true,true,1
