generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
1,allCare,6242,care,false,false,true,false,99,51,0,0,0.924,1,5,1,0,0,0,responder,0.5125996130462622,reactive,allCare,0.5693664835063335,pref_epistemic,true,true,true,1
1,allCare,6243,care,false,false,true,false,297,114,0,0,0.510,1,1,1,0,0,0,disruptor,0.7680544025260603,reactive,allCare,0.47065923313507835,pref_epistemic,true,true,true,1
1,allCare,6244,care,false,false,true,false,0,0,0,0,0.633,0,0,0,0,0,0,disruptor,0.7961891142808831,proactive,allCare,0.7167728207786284,pref_care,true,true,true,1
1,allCare,6245,care,false,false,true,false,297,34,3,3,0.319,3,0,0,3,0,0,disruptor,0.18388482933458905,proactive,allCare,0.4822500622186745,pref_epistemic,true,true,true,1
1,allCare,6246,care,false,false,true,false,0,0,0,0,0.428,0,0,0,0,0,0,responder,0.2512963048203539,proactive,allCare,0.47965826036278303,pref_care,true,true,true,1
1,allCare,6247,care,false,false,true,false,495,251,0,0,0.310,2,39,2,0,0,0,initiator,0.22325445442498715,reactive,allCare,0.41415539073629754,pref_apriori,true,true,true,1
1,allCare,6248,care,false,false,true,false,0,0,0,0,0.802,0,0,0,0,0,0,disruptor,0.7303560345793321,reactive,allCare,0.7836434272090284,pref_care,true,true,true,1
1,allCare,6249,care,false,false,true,false,0,0,0,0,0.578,0,0,0,0,0,0,disruptor,0.544604917690094,proactive,allCare,0.742130906590227,pref_care,true,true,true,1
1,allCare,6250,care,false,false,true,false,198,71,0,0,0.758,1,2,1,0,0,0,responder,0.44033378750292096,reactive,allCare,0.6792214210706714,pref_care,true,true,true,1
1,allCare,6251,care,false,false,true,false,0,0,0,0,0.857,0,0,0,0,0,0,disruptor,0.8648879516370331,reactive,allCare,0.6595990565384253,pref_care,true,true,true,1
1,allCare,6252,care,false,false,true,false,0,0,0,0,0.987,0,0,0,0,0,0,mediator,0.1590396642634403,reactive,allCare,0.5121905958937145,pref_care,true,true,true,1
1,allCare,6253,care,false,false,true,false,99,11,1,1,0.751,1,0,0,1,0,0,initiator,0.7636757371090555,reactive,allCare,0.5237449494858666,pref_apriori,true,true,true,1
1,allCare,6254,care,false,false,true,false,0,0,0,0,0.340,0,0,0,0,0,0,mediator,0.8030525923246656,proactive,allCare,0.672869808667681,pref_care,true,true,true,1
