generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
1,pluralist,0,apriori,true,false,false,true,279,149,0,0,0.761,3,19,3,0,0,0,mediator,0.6575759072635572,reactive,pluralist,0.6561954560008921,pref_care,true,false,false,1
1,pluralist,1,care,false,false,true,false,558,171,6,6,0.375,6,3,0,6,0,0,initiator,0.09952535715087962,proactive,allCare,0.7180417464022951,pref_legal,true,false,false,1
1,pluralist,2,legal,false,true,false,true,93,20,1,1,0.606,1,0,0,1,0,0,initiator,0.8800024678862663,proactive,pluralist,0.632032870685049,pref_care,true,false,false,1
1,pluralist,3,apriori,true,true,true,false,186,101,1,1,0.960,2,89,1,1,0,0,disruptor,0.3395084578860643,proactive,pluralist,0.7325964711308273,pref_epistemic,true,false,false,1
1,pluralist,5,epistemic,false,true,true,true,93,60,1,1,0.795,1,28,0,1,0,0,responder,0.11156950087819195,reactive,pluralist,0.7020896079797287,pref_epistemic,true,false,false,1
1,pluralist,6,apriori,true,false,true,false,93,20,1,1,0.725,1,0,0,1,0,0,mediator,0.6278732495373722,reactive,pluralist,0.7223767451750205,pref_care,true,false,false,1
1,pluralist,7,legal,false,false,false,true,93,9,1,1,0.900,1,0,0,1,0,0,responder,0.9363309593762422,reactive,pluralist,0.6778346417151708,pref_legal,true,false,false,1
1,pluralist,8,care,true,false,true,false,279,109,3,3,0.663,3,16,0,3,0,0,disruptor,0.22749857103545001,reactive,pluralist,0.5378190114556742,pref_legal,true,false,false,1
1,pluralist,9,epistemic,false,true,true,false,93,46,1,1,0.546,1,3,0,1,0,0,disruptor,0.8292774555077334,proactive,pluralist,0.7284729115412962,pref_epistemic,true,false,false,1
1,pluralist,10,care,true,true,false,true,186,54,1,1,0.803,2,1,1,1,0,0,mediator,0.7559311103434494,proactive,pluralist,0.6868613357847535,pref_epistemic,true,false,false,1
1,pluralist,11,epistemic,true,false,false,true,93,10,1,1,0.851,1,0,0,1,0,0,mediator,0.10594397197225391,proactive,pluralist,0.5921766339454473,pref_epistemic,true,false,false,1
1,pluralist,12,epistemic,false,false,false,true,0,0,0,0,0.325,0,0,0,0,0,0,initiator,0.7739380466197587,reactive,pluralist,0.4258054192956232,pref_epistemic,true,false,false,1
1,pluralist,13,legal,false,false,false,true,279,53,2,2,0.467,2,0,0,2,0,0,responder,0.5550615649323736,proactive,pluralist,0.533458149261562,pref_legal,true,false,false,1
1,pluralist,14,apriori,true,false,false,true,186,52,2,2,0.832,2,0,0,2,0,0,responder,0.8430091453812275,proactive,pluralist,0.4737192352798727,pref_care,true,false,false,1
1,pluralist,15,care,true,false,true,false,186,78,1,1,0.688,1,1,0,1,0,0,disruptor,0.11040013093178591,reactive,pluralist,0.7478866407432259,pref_care,true,false,false,1
1,pluralist,16,legal,true,true,true,false,93,11,1,1,0.621,1,0,0,1,0,0,responder,0.8115252106012699,reactive,pluralist,0.770898967407974,pref_epistemic,true,false,false,1
1,pluralist,17,legal,false,false,true,true,279,129,1,1,0.854,2,14,1,1,0,0,initiator,0.92812398032871,proactive,pluralist,0.7878876589196444,pref_apriori,true,false,false,1
1,pluralist,18,care,false,false,true,true,279,110,1,1,0.356,2,5,1,1,0,0,disruptor,0.0410524498456839,proactive,pluralist,0.592951461325509,pref_care,true,false,false,1
1,pluralist,19,epistemic,false,true,false,false,93,10,1,1,0.806,1,0,0,1,0,0,disruptor,0.09830384190539221,reactive,authoritarian,0.6893369306680099,pref_epistemic,true,false,false,1
1,pluralist,20,epistemic,false,false,false,false,186,25,2,2,0.700,2,0,0,2,0,0,responder,0.4956538151005585,proactive,collapsed,0.4035027385546475,pref_epistemic,true,false,false,1
1,pluralist,21,epistemic,false,true,true,true,93,42,1,1,0.418,1,3,0,1,0,0,initiator,0.9435328044562318,proactive,pluralist,0.5749689975605288,pref_epistemic,true,false,false,1
1,pluralist,22,apriori,true,true,false,false,279,139,1,1,0.748,1,2,0,1,0,0,mediator,0.6150240976938227,proactive,pluralist,0.5745981697874095,pref_epistemic,true,false,false,1
1,pluralist,23,care,true,false,true,false,186,32,1,1,0.649,2,1,1,1,0,0,responder,0.1974120180843708,reactive,pluralist,0.598689818275737,pref_epistemic,true,false,false,1
1,pluralist,24,care,true,true,true,false,558,249,3,3,0.536,4,59,1,3,0,0,disruptor,0.8160722605554288,reactive,pluralist,0.4945340715516151,pref_apriori,true,false,false,1
1,pluralist,25,epistemic,true,true,false,false,186,29,2,2,0.468,2,0,0,2,0,0,disruptor,0.0499337730464815,reactive,pluralist,0.7940614103528901,pref_epistemic,true,false,false,1
1,pluralist,27,apriori,true,true,true,false,0,0,0,0,0.720,0,0,0,0,0,0,disruptor,0.7228457728268953,reactive,pluralist,0.5373518865074248,pref_apriori,true,false,false,1
1,pluralist,28,legal,true,true,true,true,186,102,1,1,0.487,2,75,1,1,0,0,disruptor,0.008339242645368117,reactive,utopian,0.5200870702666032,pref_epistemic,true,false,false,1
1,pluralist,30,care,false,true,true,true,651,259,4,4,0.817,6,69,2,4,0,0,mediator,0.8741934276872106,reactive,pluralist,0.4342275866445526,pref_epistemic,true,false,false,1
1,pluralist,31,legal,true,false,true,true,186,55,2,2,0.895,2,0,0,2,0,0,disruptor,0.051846033199133945,proactive,pluralist,0.563155919338686,pref_legal,true,false,false,1
1,pluralist,32,epistemic,false,true,true,true,0,0,0,0,0.551,0,0,0,0,0,0,initiator,0.3921965441108637,proactive,pluralist,0.5845127127322499,pref_epistemic,true,false,false,1
1,pluralist,33,legal,true,false,false,false,279,106,3,3,0.815,3,30,0,3,0,0,initiator,0.6143478254894392,proactive,pluralist,0.43592267194797607,pref_epistemic,true,false,false,1
1,pluralist,34,epistemic,true,false,false,true,186,38,1,1,0.784,1,0,0,1,0,0,initiator,0.18475789130565223,proactive,pluralist,0.717408164555005,pref_care,true,false,false,1
1,pluralist,35,legal,true,true,false,false,93,34,1,1,0.821,1,0,0,1,0,0,mediator,0.916225192171768,proactive,pluralist,0.728076698655643,pref_legal,true,false,false,1
1,pluralist,36,care,false,false,false,false,93,30,0,0,0.749,1,2,1,0,0,0,responder,0.11948511654226901,reactive,collapsed,0.6352272771936414,pref_legal,true,false,false,1
1,pluralist,37,care,false,false,true,true,651,202,0,0,0.321,1,2,1,0,0,0,responder,0.8063351657311916,proactive,pluralist,0.7733281928329285,pref_apriori,true,false,false,1
1,pluralist,38,legal,false,false,true,false,0,0,0,0,0.309,0,0,0,0,0,0,mediator,0.33332954458499364,proactive,allCare,0.42503978766257133,pref_legal,true,false,false,1
1,pluralist,39,care,false,false,true,true,372,117,2,2,0.644,3,1,1,2,0,0,disruptor,0.06876775118066625,proactive,pluralist,0.4338885745678486,pref_care,true,false,false,1
1,pluralist,41,legal,false,true,true,true,279,104,2,2,0.521,2,0,0,2,0,0,initiator,0.497411030967046,reactive,pluralist,0.751295999782066,pref_legal,true,false,false,1
1,pluralist,42,care,true,true,false,false,186,95,0,0,0.816,1,9,1,0,0,0,mediator,0.5355711665255934,proactive,pluralist,0.599010205120871,pref_legal,true,false,false,1
1,pluralist,43,care,false,false,false,true,93,10,1,1,0.343,1,0,0,1,0,0,disruptor,0.7240989580074793,reactive,pluralist,0.5111669467153511,pref_epistemic,true,false,false,1
1,pluralist,44,care,false,false,true,false,279,66,0,0,0.980,1,2,1,0,0,0,responder,0.4516792078590508,reactive,allCare,0.597819246144297,pref_care,true,false,false,1
1,pluralist,45,legal,false,true,false,true,186,58,1,1,0.696,2,5,1,1,0,0,mediator,0.48810308006516545,proactive,pluralist,0.681099869747666,pref_epistemic,true,false,false,1
